"ശ്രീനിവാസൻ: പറയെടാ... നീ അമേരിക്കയിൽ എവിടെയായിരുന്നു?
മോഹൻലാൽ: അമേരിക്കയിൽ... അതുപിന്നെ അമേരിക്കൻ ജംഗ്ഷനിൽ!
ശ്രീനിവാസൻ: ഹ ഹ ഹ... അമേരിക്കയിൽ അങ്ങോനൊരു സ്ഥലമേ ഇല്ല..!!
മോഹൻലാൽ: എന്ത് വിഢിത്തമാണീ പറയുന്നേ.. ജംഗ്ഷനില്ലാത്ത നാടുണ്ടോ?!
...
ശ്രീനിവാസൻ: How many kilometers from Washington D.C. to Miami Beach?
മോഹൻലാൽ: I am the answers. Kilometers and kilometers.. In these days of degenerating decencies of Miami beach to Washington when diplomacy and duplicity become interchangeability of from complicated from America to America.
...
മോഹൻലാൽ: You talking too much.I kick your face and getout.You talking nonsense in the house of my wife, mother and father.Uncle, send him out, out house, go go go, go away..
ജഗതി: Go away stupid, In the house of my wife and daughter, you will not see any minute of the today, GET OUTHOUSE. GET OUTHOUSE."	മഴപെയ്യുന്നു മദ്ദളം കൊട്ടുന്നു 
കലങ്ങിയില്ലാ.. 	യോദ്ധ
എനിക്ക് ഇവിടെ മാത്രമല്ലടാ പിടി അങ്ങ് ഡെല്ഹിലും ഉണ്ടെടാ പിടി 	ഒരു സിബിഐ ഡയറികുറിപ്പ് 
"അപ്പോൾ നീയാണല്ലേ പോൾ ബാർബർ? 
നിന്റച്ഛനാടാ പോൾ ബാർബർ.."	അക്കരെ അക്കരെ അക്കരെ
കൊല്ലാമായിരുന്നില്ലേ	ഹിസ് ഹൈനസ് അബ്ദുള്ള
തേങ്ങാ ഉടക്ക് സാമീ	മിഥുനം
ഈ കാട് മൊത്തം ഫോറസ്റ്റാണല്ലൊ...	യോദ്ധ
കുട്ടി മാമാ ഞാൻ ഞെട്ടി മാമ..	യോദ്ധ
"കർണ്ണൻ
നെപോളിയൻ
ഭഗത് സിംഗ്"	7th day
തള്ളെ കലിപ്പ് തീരനില്ലല്	രാജമാണിക്യം
Just remember that 	കമ്മിഷണർ
അരുത് അബു അരുത് 	ആട്
Chill സാറാ chill 	മഹേഷിന്റെ പ്രതികാരം
എന്ത് പ്രഹസനം ആടോ  	കുമ്പളങ്ങി നൈറ്റ്സ്
കളറായിട്ടുണ്ടല്ലോ 	ആട്
അടിപൊളി ബാ പോവാം 	വെള്ളിമൂങ്ങ
കരയിപ്പിക്കാത ഡാ നായിന്റെ മോനെ	മഹേഷിന്റെ പ്രതികാരം 
ഇനി ഒരു തിരിച്ചു വരവ് ഉണ്ടാകില്ല ശശിയെ	കുഞ്ഞിരാമായണം
തനി രാവണൻ ... പത്തു തലയാ ഇവന് .. 	മണിച്ചിത്രത്താഴ്
അങ്കമാലിയിലെ അമ്മാവൻ ആരാന്നാ പറഞ്ഞേ ?? 	കിലുക്കം
അശോകനു ക്ഷീണം ആവാം 	യോദ്ധ
ഗംഗേ ........…	മണിച്ചിത്രത്താഴ്
കുറച്ചു കഞ്ഞി എടുകട്ടെ	ഒടിയൻ
അവരുടെ ആവശ്യം തനിക്ക് അനാവശ്യം! 	താളവട്ടം
എന്താടോ വാര്യരെ നന്നാവാത്തെ? 	ദേവാസുരം
എൽദോ.. നിന്നെ സിനിമയിൽ എടുത്തെടാ 	മാന്നാർ മത്തായി സ്‌പീക്കിങ്
ഞാൻ മുൻപിലിൻഡ്ന്നങ്ങട് വിചാരിക്യ കാർത്യായനി നടന്നോളൂ... 	നന്ദനം 
 അച്യുത് മാമ	അക്കരെ നിന്നൊരു മാരൻ
എങ്കില്‍ തോമ മുടിയൊന്ന് നീട്ടി വളര്‍ത്തും	സ്ഫടികം
തീരുമ്പോൾ തീരുമ്പോൾ പണി തരാൻ ഞാൻ എന്താ കുപ്പിയിൽ നിന്ന് വന്ന ഭൂതമോ	പഞ്ചാബി ഹൗസ്
മാടമ്പള്ളിലെ ചിത്തരോഗി അപ്പം നീയാണല്ലേ	മണിച്ചിത്രത്താഴ്
കേസ് കൊടുക്കണം പിള്ളേച്ചാ..	മീശമാധവൻ
നഹി ന്നു പരൻഹൽ നഹി 	പഞ്ചാബി ഹൗസ്
കമോൺ എവിരിബഡി	അമർ അക്ബർ ആന്റണി
സാധനം കൈയ്യിലുണ്ടോ	അക്കരെ അക്കരെ അക്കരെ
The coefficient of linear expansion is the proportion of the haemoglobin in the atmosphere! But why? But why?! Full many a gem of purest serene lay underneath the unfathomed ocean unblossomed! But why?! BUT WHY?!	നാട്ടുവിശേഷം
പോളണ്ടിനെ പറ്റി ഒരക്ഷരം മിണ്ടരുത് 	സന്ദേശം
മ്മക്കോരോ നാരങ്ങാ വെള്ളം കാച്ചിയാലോ	തൂവാനത്തുമ്പികൾ
എന്നെ നൈസായി ഒഴിവാക്കിയതാണല്ലേ	മഹേഷിന്റെ പ്രതികാരം
"കൊച്ചിൻ ഹനീഫ :ഇപ്പൊ താക്കോൽ എവിടെയുണ്ട്? 
ജഗദീഷ് :മരുന്ന് ഡപ്പില്.... 
കൊച്ചിൻ ഹനീഫ : അവിടെ തന്നെ വെച്ചേര് "	കാക്കക്കുയിൽ
അതെന്താടാ നിനക്ക് ചോറ് വേണ്ടാത്തെ?  	കല്യാണ രാമൻ
സവാള കിരി കിരി കിരി കിരി	കല്യാണ രാമൻ
കഷ്ടം തന്നെ മുതലാളി, കഷ്ടം തന്നെ	പഞ്ചാബി ഹൗസ്
“എന്റെ ഗർഭം ഇങ്ങനല്ല..	മേലേപ്പറമ്പിൽ ആൺവീട്
എന്നിട്ട് സ്പീച്ചാൻ വന്നിരിക്കുന്നു	കല്യാണ രാമൻ
ഓ ബ്ലഡി ഗ്രാമവസീസ് 	ആട്
ഒരു ലുക്കില്ലെന്നൊള്ളൂ ഭയങ്കര ബുദ്ധിയാ	മീശമാധവൻ
കാവിലെ പാട്ടുമത്സരത്തിന് കാണാം	യോദ്ധ
സത്യം പറയടാ നീ അല്ലേ പോൾബാർബർ	അക്കരെ അക്കരെ അക്കരെ
ഇവനാണോ പരിഷ്കരി	കോട്ടയം കുഞ്ഞച്ചൻ
എന്താ cooling glass വച്ച ആമ്പിള്ളേരെ പെണ്കുട്ടിക്കൾക്ക് ഇഷ്‍ടമല്ലന്നുണ്ടോ? Dont they like ?	ഇൻ ഹരിഹർ നഗർ
കാക്ക തൂറിന്നാ തോന്നുന്നെ	ഇൻ ഹരിഹർ നഗർ
കാക്കയ്ക്ക് അറിയാം കക്കൂസ് എവിടാന്ന്	ഇൻ ഹരിഹർ നഗർ
അതാ ഞാൻ നോക്കിയപ്പോൾ കാണാഞ്ഞേ ; 250രൂപക്ക് 3 ബെഡ്റൂം, കാർപോർച്ച്, പൂജാമുറി	നാടോടിക്കാറ്റ്
എന്തൊക്ക ആയിരുന്നു മലപ്പുറം കത്തി അമ്പും വില്ലും 	നാടോടിക്കാറ്റ്
അങ്ങനെ പവനായി ശവമായി	നാടോടിക്കാറ്റ്
മുട്ട് കാല് തല്ലി കൊല്ലുമേടാ പന്നി	ഗോഡ് ഫാദർ
കുഴപ്പമായി ന്നാ.. തോന്നുന്നെ	ഗോഡ് ഫാദർ
മറക്കണോ ഞാൻ മറക്കാണോന്ന് എന്താടോ ഞാൻ മറക്കണ്ടത്	ഗോഡ് ഫാദർ
എനിക്കറിയാം, ഇവന് ആർത്തി മൂത്ത് ഭ്രാന്തായതാ 	കിലുക്കം
എല്ലാം പറഞ്ഞ് compliments ആക്കിയിട്ടുണ്ട്, അര മണിക്കൂർ മുൻപേ പുറപ്പെട്ടു വേണേ ഒരു മണിക്കൂർ മുൻപേ പുറപ്പെടാണോ? 	റാംജി റാവു speaking
നീ തങ്കപ്പനല്ലടാ പൊന്നപ്പനല്ലേ തനി പൊന്ന്	മാന്നാർ മത്തായി സ്‌പീക്കിങ്
ഹേ അതിനിടെയ്ക്ക് പത്രത്തിലും വന്നോ	മാന്നാർ മത്തായി സ്‌പീക്കിങ്
ഒന്ന് മിണ്ടാതിരിക്കോ ആയുധം വെച്ചട്ടുള്ള കളിയാ	കല്യാണരാമൻ
സാരമില്ല രാമൻകുട്ടി കലാകാരൻമാർ അല്ലാത്തവരെ സമൂഹം അംഗീകരിക്കില്ല	കല്യാണ രാമൻ
നീ ഒക്കെ എന്തിനാ പടികുന്നെ	ഗോഡ്ഫാദർ
ഓരോന്നിനും അതിന്റെതായ സമയം ഉണ്ട് ദാസാ	നാടോടിക്കാറ്റ് 
Welcome to ooty nice to meet you	കിലുക്കം
മീനവിയൽ എന്തായോ എന്തോ	അക്കരെ അക്കരെ അക്കരെ
നീ എന്നെ എങ്കേയും പോക വിടമാട്ടേ	മണിച്ചിത്രത്താഴ്
കിട്ടിയാൽ ഊട്ടി ഇല്ലേ ചട്ടി	കിലുക്കം
ഓരൊലക്ക കിട്ടുവോ	വടക്കുനോക്കിയന്ത്രം 
നീ എവിടെനിന്നും വന്നെടാ മരഭൂതമേ	ചതിക്കാത്ത ചന്തു
ഫിലോമിന: ആരാടാ നാറി നീ	കൗതുക വാർത്തകൾ
ഒസ്‌തല്ലേ തിരോന്തോരം അവിടെത്തന്നെ കാണുവല്ല എപ്പച്ചെന്നാലും കാണാം	മീശമാധവൻ
എന്തു പറ്റി രമണാ....	പഞ്ചാബി ഹൗസ്
പൊളി ശരത്തെ ട്രാക്ക് മാറ്റ് 	കുമ്പളങ്ങി നൈറ്റ്സ്
മൊയ്തീനെ ആ ചെറിയെ സ്പാനർ ഇങ്ങെടുത്തെ	വെള്ളാനകളുടെ നാട്
അടി സക്കെ	റൺവേ 
അമ്പട കേമ സണ്ണി കുട്ടാ. 	മണിച്ചിത്രത്താഴ്
കണ്ട ഒരുലൂക്കില്ല എന്നെ ഉള്ളു പക്ഷെ ഭയങ്കര ബുദ്ദിയ.	മീശമാധവൻ
ഓർമയുണ്ടോ ഈ മുഖം 	കമ്മീഷണർ
നന്ദി മാത്രം ഉള്ളു അല്ലെ?	മീശമാധവൻ
ബുദ്ധി ആണിവന്റെ മെയിൻ	തണ്ണീർ മത്തൻ ദിനങ്ങൾ
ഉണ്ണിയേട്ടൻ ഫസ്റ്റ്	കൊച്ചിരാജാവ്
ഒരു വരവ് കൂടി വരേണ്ടി വരും	രാജമാണിക്യം
കൊച്ചി പഴയ കൊച്ചിയല്ല... പക്ഷെ ബിലാൽ പഴയ ബിലാൽ തന്നെയാ.....	Big B
അടിച്ചു മോളേ	കിലുക്കം
പടച്ചോനേ ഇങ്ങള് കാത്തോളി	വെള്ളാനകളുടെ നാട്
അങ്കമാലീലെ അമ്മാവൻ	കിലുക്കം
നീ അവനെ ഓസിയല്ലോടാ ജീവിക്കുന്നത്?	കുമ്പളങ്ങി നൈറ്റ്സ്
എത്ര മനോഹരമായ ആചാരങ്ങൾ	ചിത്രം
വേലക്കാരി ആയിരുന്താലും നീ എൻ മോഹവല്ലി 	മേലേപ്പറമ്പിൽ ആൺവീട്
നിനക്ക് അടുത്ത പള്ളി പെരുന്നാളിന് വാങ്ങിച്ചു തരാം	Big B
ചന്ദുവിനെ തോൽപ്പിക്കാൻ ആവില്ല മക്കളെ	ഒരു വടക്കൻ വീരഗാഥ
കമോൺഡ്രാ മഹേഷേ	മഹേഷിന്റെ പ്രതികാരം
നീ എവിടെ പരിപാടി അവതരിപ്പിച്ചാലും ഇത് തന്നെ ആണല്ലോ വിധി	കല്യാണരാമൻ
ദേ വന്നിരിക്കുന്നു നിന്റെ മോൻ	യോദ്ധ
മലപ്പുറത്തേക്ക് ബസിനു പോവാൻ അങ്കമാലിയിലേക്ക് ടിക്കറ്റ് എടുക്കേണ്ട ആവശ്യമില്ല.	ഏതോ സന്തോഷ് പണ്ഡിറ്റ് സിനിമ
തീപ്പെട്ടിക്കൊള്ളി ഉരച്ചാൽ മെഴുകുതിരി കത്തിക്കാം... എന്നാൽ മെഴുകുതിരി ഉരച്ചാൽ തീപ്പെട്ടിക്കൊള്ളി കത്തില്ല...	ഏതോ സന്തോഷ് പണ്ഡിറ്റ് സിനിമ
പഴത്തിൽ തൊലിയുണ്ടെന്നു കരുതി പഴംപൊരിയിൽ തൊലിയുണ്ടെന്നു വിചാരിക്കരുത്	ഏതോ സന്തോഷ് പണ്ഡിറ്റ് സിനിമ
വാർക്കപണിക്കാർ ഇഷ്ടിക പൊട്ടിക്കുന്നത് കരാട്ടെ പഠിച്ചിട്ടല്ല മിസ്റ്റർ.	ഏതോ സന്തോഷ് പണ്ഡിറ്റ് സിനിമ
ഒരു കണ്ടക്ടറോട് ബാക്കി ചോദിച്ചാൽ ചില്ലറ കിട്ടും. എന്നു കരുതി ഡ്രൈവറോട് ചോദിച്ചാൽ കിട്ടില്ല.	ഏതോ സന്തോഷ് പണ്ഡിറ്റ് സിനിമ
പൂരങ്ങളുടെ... ഈ പൂരങ്ങളുടെ..	പ്രാഞ്ചിയേട്ടൻ ആൻഡ് ദി സെയിന്റ്
മാറ്റുവിൻ ചട്ടുകങ്ങളെ	പ്രാഞ്ചിയേട്ടൻ ആൻഡ് ദി സെയിന്റ്
എന്റെ വീടിന്റെ ചുവരിൽ ഒരുപാട് പേരുടെ പടം ഒന്നും ഇല്ല... ഒറ്റ പടം മാത്രമേ ഉള്ളു എന്റെ തന്തയുടെ..	Left Right Left
ഓരോ സുലൈമാനിയിലും ഒരിത്തിരി മുഹബത് വേണം, അത് കുടിക്കുമ്ബോള്‍ ലോകം ഇങ്ങനെ പതുക്കെയായി വന്നു നില്‍ക്കണം	ഉസ്താദ് ഹോട്ടൽ
മീശപുലിമലയിൽ മഞ്ഞുവീഴുന്നത് കണ്ടിട്ടുണ്ടോ?	ചാർലി
ആഹാ... എന്റെ അച്ഛൻ പണ്ടവിടെ ചായക്കട നടത്തിയിരുന്നു.	പട്ടണപ്രവേശം
കാക്കാം കീക്കാം മല്ലയാ എന്ന് തൊണ്ട പൊട്ടുമാറു ഉച്ചത്തിൽ വിളിച്ച് പറഞ്ഞ എന്നോട് ഇത് വേണ്ടായിരുന്നു മല്ലയ്യ.	ചട്ടമ്പിനാട് 
പഴശ്ശിയുടെ യുദ്ധങ്ങൾ കമ്പനി കാണാൻ പോകുന്നതേയുള്ളൂ.	പഴശ്ശിരാജ
ടാ പ്രാഞ്ചിയെ, നീ ആ ചേട്ടത്തിയാരുടെ ഏതു മെലയ്ക്കാണ്ടാ പിടിച്ചേ? എടത്തെതാ? വലത്തെതാ? ടാ എടത്തും വലത്തുമല്ലാതെ പിന്നെ ഏതാൻട്രെട മെല?	പ്രാഞ്ചിയേട്ടൻ ആൻഡ് ദി സെയിന്റ്
നീല നിറത്തിലുമുണ്ടല്ലോ ഒരെണ്ണം , അതെന്തായാലും അധികമാർക്കും കാണില്ല .	മീശമാധവൻ
നീ അവളെ അനന്തയുടെ അജ്ഞാതനീലിമയിൽ ഒഴുകിവരുന്ന ഒരു അപ്സരസ്സായി കണ്ടോ?	വന്ദനം
എടോ, വിവരമുള്ളവർ എഴുതിവച്ചിട്ടുണ്ട്. A saint can be a rascal. But a rascal can never be a saint. സന്യാസിക്ക് തെമ്മാടിയാവാം. പക്ഷേ, ഒരു തെമ്മാടിക്കൊരിക്കലും ഒരു സന്യാസിയാവാൻ കഴിയില്ലെന്ന്. 	ഏകലവ്യൻ
അതിന് അച്ഛനില്ല. അച്ഛന്റെ പേര് പറയണമെന്ന് എന്നെങ്കിലും നിർബന്ധം വരുമ്പോൾ പറഞ്ഞേക്കു കുഞ്ചുണ്ണീ; നളൻ. അല്ലെങ്കിൽ അർജ്ജുനൻ, അല്ലെങ്കിൽ ഭീമൻ.	പരിണയം
എന്റെ രാമൻകുട്ടി ഞാൻ ആയിരം പ്രാവശ്യം ഈ നായിന്റെ മോനോട്.	കല്യാണരാമൻ 
പാചകക്കാരൻ  അണല്ലെ... അല്ല എറണാകുളം ജില്ല കലക്ടർ മിണ്ടാതിരുന്നു കുത്തി കേറ്റടാ	കല്യാണരാമൻ 
മീൻ.. ഏയ് അങ്ങനെ ഒന്നും ഇല്ല... നെയ്മീൻ.. ചാള മീൻ.. ഫിലോപിയ മീൻ.. ഫൂ...	കല്യാണരാമൻ 
 no no no ! you are the link of the link !....The two families attached to the bathroom ...your family is food and accommodation !	കല്യാണരാമൻ 
In the home appliances of the two families...you are the link !	കല്യാണരാമൻ 
ഓരോരുത്തന്മാര് വയറും വാടകയ്ക്ക് എടുത്തോണ്ട് വന്നേക്കാ	കല്യാണരാമൻ 
ഉഷ്ണം ഉഷ്ണേന ശാന്തി കൃഷ്ണ	കല്യാണരാമൻ 
ചോറ് എന്നല്ലേ ഞാൻ പറഞ്ഞേ അക്ഷരം മാറിയിലല്ലോ 	കല്യാണരാമൻ 
പ്രിയമുള്ള ശരീരസൗന്ദര്യാരാധകരെ	കല്യാണരാമൻ 
poorboy english അറിയില്ല എന്നിട്ട് സ്‌പീച്ചാണ് വന്നിരിക്കുന്നു മലയാളീസ്Show less 	കല്യാണരാമൻ 
ഒരാൾ മരിക്കാൻ കിടക്കുമ്പോ ആണോ ഹാർമോണിയം വാഴിച്ചു കളിക്കണോ പന്നി	കല്യാണരാമൻ 
ശ്രദ്ധിക്കുക..കലാപരിപാടികൾ തുടങ്ങാൻ.... ആരംഭിക്യാണ്ട്ട്ടാ..കൂ.. യ്‌.	കല്യാണരാമൻ 
Keep എന്ന് പറഞ്ഞാൽ ഇത്രേം വലിയ തെറിയായിരുന്നോ ഈശ്വര	കല്യാണരാമൻ 
മഹാലക്ഷി ആരാ മോളാ ഭാര്യ ആയിരിക്കും ലെ 	കല്യാണരാമൻ 
ദൈവതിന്റെ വരദാനമാണ് ചോറ് അത് മറക്കരുത് 	കല്യാണരാമൻ 
സപ്ലയർ ഇത്തിരി സാമ്പാർ താങ്ങിയെ	കല്യാണരാമൻ 
ദേഹത്തു എണ്ണ ഇടാൻ വിളിച്ചതാ.. അതെന്താ നിന്നെ അച്ചാർ ഇടാൻ പോകണോ രാമൻകുട്ടി അച്ചാർ	കല്യാണരാമൻ 
ചെറുക്കൻ ഈ midnight ലാ സെറ്റപ്പ് ആയത് ,നാളെ earlymorning wedding നടത്തണം..എല്ലാം ശടപടെയ്..ശടപടെയയ്ന്നാരുന്നു	കല്യാണരാമൻ 
അവന്റെ അമ്മേടെ... വീടിന്റെ അടുത്താ എന്റെ വീട് എന്നിട്ടാ അവന് എന്നോട് ഇങ്ങനെ പെറുമാറണെ	കല്യാണരാമൻ 
നേര് പറഞ്ഞാ മുതലാളിക്ക് ഒന്നും തോന്നരുത്. മക്കൾകൊക്കെ ഇത്തിരി കാറ്റ് വിഴ്ചയുണ്ട്. 	മേലെ പറമ്പിൽ ആൺവീട്
ആ ശ്ലോകം ഒന്നും സ്ക്രിപ്ടിൽ കാണില്ലായിരിക്കും. പുള്ളി തന്നെ ഉണ്ടാക്കുന്നതാവും... 	നന്ദനം
ഉണ്ണിയമ്മേ.... കുമ്പിടി വന്നു 	നന്ദനം
പോണ വഴി തീ പിടിച്ച് കത്തിപ്പോട്ടെ	നന്ദനം
അനിയാ നിൽ 	നന്ദനം
60 രൂപാ കാട്ടാം പക്ഷേ തരില്ല	നന്ദനം
ഗ്ലാനിർ ഭവതി ഭാരത 	നന്ദനം
ഈ പാട്ടടെ വില അല്ല ചോദിച്ചത് 	നന്ദനം
ഹൃസ് പുണ്ടരീകാന്തര സന്നിവിഷസം.... സ്വതേജ്ജസ്സാ മാർഗമധ്യേ അഗ്നിഗോളാതി സംഭ്രതാം.... പോണ വഴി തീ പിടിച്ചു കത്തി പോട്ടെ	നന്ദനം
കുമ്പിടി പറഞ്ഞത് ഓർമ്മ ഉണ്ടലോ ഇന്ന് വെള്ളിയാഴ്ച 	നന്ദനം
ജമ്പാ ഭലാനി ഭക്ക്വാനി.	നന്ദനം
ന ഛത്രം ന തുരംഗമോന വദതാം വൃന്ദാനിനോ വന്ദിനാം, ആ പദി കിം കരണീയം സ്മരണീയം ചരണയുഗളമെമ്പായാം, തൽസ്മരണം കിം കുരുതേ, ബ്രഹ്മാദീനപിത കിങ്കരീ കുരുതേ... !!! 	നന്ദനം
ബുധൻ ശുക്രന്റെ ഉള്ളിൽ കേറി..ശുക്രൻ ചൊവ്വയുടെ ഉള്ളിൽ കേറി..	നന്ദനം
അപ്രസ്ഥാന ഹൃദയന്തിം പ്രവർത്തിൻ മുഖരെ നുണയന്തീം.. 	നന്ദനം
എന്റെയീ തല തന്നെ കേശവൻ ചേട്ടന്റെ തൃപ്പാദങ്ങൾക്കിടയിൽ തിരുകിവച്ചിരിക്കുവല്ലേ	നന്ദനം
കുമ്പിട്ടു കുമ്പിട്ടു വാടാ കുമ്പിടി 	നന്ദനം
ഇ മുട്ട് കാൽ അങ്ങോട്ട്‌ കേറ്റി തന്നാലുണ്ടല്ലോ പിന്നെ അടുത്ത ഗുരുവായൂർ ഏകാദശി തിരിച്ചു എടുക്കു അപ്പോ മതിയട എനിക്ക് ഇ കാലു 	നന്ദനം
മനോരമയിലെ ഹവ്വാ ബീച്	സന്ദേശം
ബൂർഷ്വാസി come സെലിൻ	സന്ദേശം
"Downtrodent a question mark എന്ന പുസ്തകം വായിച്ചിട്ടുണ്ടോ.
മംഗളം വാരികയിലെയും മനോരമ വാരികയിലെയും മിക്ക നോവലുകളും ഇവിടെ ഞങ്ങൾ എല്ലാരും വായിക്കാറുണ്ട് ."	സന്ദേശം
വിരി മാർ കാണിച്ചു കൊടുക്കേണ്ടി വരും	സന്ദേശം
ഹവ്വാ ബീച്ചോ?! അതെന്തു ബീച്ചാ?	സന്ദേശം
